Kуd ADM;Kуd obce;Nбzev obce;Nбzev MOMC;Nбzev MOP;Kуd ибsti obce;Nбzev ибsti obce;Nбzev ulice;Typ SO;»нslo domovnн;»нslo orientaиnн;Znak инsla orientaиnнho;PS»;Souшadnice Y;Souшadnice X;Platн Od
418196;593401;Nemotice;;;103250;Nemotice;;и.p.;73;;;68333;561970.94;1171240.40;2013-12-04T00:00:00
418200;593401;Nemotice;;;103250;Nemotice;;и.p.;74;;;68333;561297.17;1172176.11;2013-12-04T00:00:00
418218;593401;Nemotice;;;103250;Nemotice;;и.p.;75;;;68333;561346.38;1172083.40;2013-12-04T00:00:00
418226;593401;Nemotice;;;103250;Nemotice;;и.p.;76;;;68333;561494.81;1171992.00;2013-12-04T00:00:00
418234;593401;Nemotice;;;103250;Nemotice;;и.p.;77;;;68333;561282.24;1172276.15;2013-12-04T00:00:00
418242;593401;Nemotice;;;103250;Nemotice;;и.p.;78;;;68333;561639.05;1172058.11;2013-12-04T00:00:00
418251;593401;Nemotice;;;103250;Nemotice;;и.p.;79;;;68333;561592.59;1172031.57;2013-12-04T00:00:00
418269;593401;Nemotice;;;103250;Nemotice;;и.p.;80;;;68333;561272.65;1172299.04;2013-12-04T00:00:00
418277;593401;Nemotice;;;103250;Nemotice;;и.p.;81;;;68333;561269.84;1172304.18;2013-12-04T00:00:00
418285;593401;Nemotice;;;103250;Nemotice;;и.p.;82;;;68333;561359.11;1172353.76;2013-12-04T00:00:00
418293;593401;Nemotice;;;103250;Nemotice;;и.p.;83;;;68333;561324.95;1172044.47;2013-12-04T00:00:00
418307;593401;Nemotice;;;103250;Nemotice;;и.p.;84;;;68333;561472.93;1171899.48;2013-12-04T00:00:00
418315;593401;Nemotice;;;103250;Nemotice;;и.p.;85;;;68333;561320.33;1172111.46;2013-12-04T00:00:00
418323;593401;Nemotice;;;103250;Nemotice;;и.p.;86;;;68333;561269.60;1172323.14;2013-12-04T00:00:00
418331;593401;Nemotice;;;103250;Nemotice;;и.p.;87;;;68333;561252.62;1172329.60;2013-12-04T00:00:00
418340;593401;Nemotice;;;103250;Nemotice;;и.p.;88;;;68333;561249.32;1172334.53;2013-12-04T00:00:00
418358;593401;Nemotice;;;103250;Nemotice;;и.p.;89;;;68333;561691.72;1171710.67;2013-12-04T00:00:00
418366;593401;Nemotice;;;103250;Nemotice;;и.p.;90;;;68333;561516.31;1171967.26;2013-12-04T00:00:00
418374;593401;Nemotice;;;103250;Nemotice;;и.p.;91;;;68333;561579.91;1172049.03;2013-12-04T00:00:00
418382;593401;Nemotice;;;103250;Nemotice;;и.p.;92;;;68333;561310.56;1172212.06;2013-12-04T00:00:00
